id,phase,phase_name,priority,status,title,required_work,source_or_register,acceptance
CA-06-06,6,"Identity, authorization and tenant security",P0,Needs audit,Secret and deployment configuration,Review documented .env names and deployment paths without printing values; verify Hetzner-only Club Arena publication.,file-register.csv,"Secrets remain server-only; no browser bundles, logs or reports disclose credentials."
CA-06-07,6,"Identity, authorization and tenant security",P1,Needs audit,Storage authorization,"Trace assets, club-assets and images candidates through bucket policies and signed URLs.",callsite-register.csv,"Upload/read/delete authorization, file validation and object ownership are tested."
CA-06-08,6,"Identity, authorization and tenant security",P1,Needs audit,Abuse and request validation,"Review schema bounds, rate limits, CSRF/CORS and replay/duplicate handling where applicable.",server-dispatch-register.csv,Malformed or abusive requests fail without corrupting state or starving unrelated tables.
CA-07-01,7,"Reconnect, interruption and durability",P0,Confirmed source gap,Incomplete cash-hand recovery,Replace snapshot completion-only recovery with an authoritative interrupted-hand state protocol.,server/src/engine/ServerTableEngineBase.ts,"Restart restores or deterministically resolves the accepted hand without losing bets, changing cards or guessing refunds."
CA-07-02,7,"Reconnect, interruption and durability",P0,Confirmed ordering gap,Snapshot completion before settlement,Move durable completion behind authoritative hand settlement and disposition evidence.,server/src/engine/ServerTableEngineSettlement.ts,Crash at every boundary cannot mark an unsettled hand complete or commit its financial effects twice.
CA-07-03,7,"Reconnect, interruption and durability",P0,Needs audit,Accepted action durability,"Trace action acceptance, persistence, sequence numbers and response ordering.",server/src/engine/HandController.ts,Acknowledged action survives process loss; replay neither omits nor duplicates an action.
CA-07-04,7,"Reconnect, interruption and durability",P0,Needs audit,Lease and stale owner fencing,Review all hand and table writers against the shared lease and canonical commit protocol.,live-rpc-register.csv,Old engine owners cannot settle or mutate after ownership changes.
CA-07-05,7,"Reconnect, interruption and durability",P1,Needs audit,Realtime sequence and resubscription,"Review socket/subscription reconnect, duplicates, gaps and ordering.",callsite-register.csv,"Clients converge on authoritative state after dropped, reordered and repeated events."
CA-07-06,7,"Reconnect, interruption and durability",P1,Needs audit,Mobile and PWA resume,"Review sleep, background, network switch, multiple tabs and cached releases.",page-and-tab-register.csv,Resume restores current hand and wallet state without resubmitting a financial intent.
CA-07-07,7,"Reconnect, interruption and durability",P0,Needs audit,Maintenance freeze and thaw,"Review scheduled lifecycle, in-flight transactions and normal engine version adoption.",docs/CLUB-ARENA-12-PHASE-AUDIT.md,No guard bypass or forced restart; operations are either committed or safely rejected during the boundary.
CA-07-08,7,"Reconnect, interruption and durability",P1,Needs audit,External effect protocol,Identify effects outside the database and use durable intent plus destination idempotency where available.,callsite-register.csv,Lost responses cannot produce duplicate external payouts; do not claim a database transaction controls external networks.
CA-08-01,8,"Lobby, seating and multi-table operation",P1,Needs audit,Lobby listings and filters,"Review club/union visibility, stakes, variants, search, pagination and stale occupancy.",page-and-tab-register.csv,Filters and counts match authorized live data across refresh and subscription loss.
CA-08-02,8,"Lobby, seating and multi-table operation",P0,Needs audit,Seat claims and reservations,"Review simultaneous seat joins, reservation expiry and seat generation.",live-rpc-register.csv,One occupant per seat and one authorized funded buy-in; expired claims cannot steal new seats.
CA-08-03,8,"Lobby, seating and multi-table operation",P0,Needs audit,Waitlists and auto-seat,"Review queue fairness, claim acceptance, timeout and funding handoff.",ui-control-register.csv,A claim is consumed once and cannot bypass club membership or wallet checks.
CA-08-04,8,"Lobby, seating and multi-table operation",P0,Needs audit,"Buy-in, top-up and rebuy wiring",Trace manual and automatic funding while seated and between hands.,src/services/WalletService.ts,One escrow transfer per accepted intent; no stack change occurs before the confirmed transaction.
CA-08-05,8,"Lobby, seating and multi-table operation",P1,Needs audit,Multi-table navigation,"Review table switching, simultaneous sessions, active-table identity and wallet refresh.",page-and-tab-register.csv,Actions and financial confirmations always target the intended table and seat.
CA-08-06,8,"Lobby, seating and multi-table operation",P1,Needs audit,Warm tables and lifecycle,"Review creation, idle shutdown, occupancy authority and restart attachment.",server/src/engine/ServerTableEngineBase.ts,Tables do not accept play without an authoritative engine; no ghost seats or duplicate owners.
CA-08-07,8,"Lobby, seating and multi-table operation",P1,Needs audit,Spectator and player views,Review watch/join transitions and private/public payload boundaries.,ui-control-register.csv,Spectators see only public data and cannot issue player-only commands.
CA-08-08,8,"Lobby, seating and multi-table operation",P1,Needs audit,Join and leave feedback,"Review full tables, insufficient funds, membership rejection and interrupted requests.",ui-control-register.csv,Every control reports a clear durable outcome without trapping a reservation or presenting false success.
CA-09-01,9,"History, reporting and configuration",P0,Needs audit,Balance reconstruction,"Review event time, recording time, account identity and immutable corrections.",live-relation-register.csv,Balances at a cutoff are reproducible from valid ledger semantics; journal-only corrections are explicit.
CA-09-02,9,"History, reporting and configuration",P0,Needs audit,Incident semantics,"Separate true imbalance, execution failure, missing evidence and delayed reads in incident classification.",page-and-tab-register.csv,Zero discrepancy is not silently treated as proof of health or corruption; resolution cites exact evidence.
CA-09-03,9,"History, reporting and configuration",P1,Needs audit,Hand and tournament history,"Review completeness, pagination, participants, awards and visibility.",page-and-tab-register.csv,History matches authoritative outcomes and never leaks hidden information.
CA-09-04,9,"History, reporting and configuration",P1,Needs audit,"Player, agent and club statistics","Review denominators, weighted attribution, currencies, timezone and period boundaries.",page-and-tab-register.csv,Reports match independently derived fixtures and distinguish statistics from cash credits.
CA-09-05,9,"History, reporting and configuration",P0,Needs audit,Configuration authority,"Trace every editable rate, cap, timer, prize and rule from UI to server/database authority.",ui-control-register.csv,One approved effective configuration applies at the right boundary; clients cannot override it.
CA-09-06,9,"History, reporting and configuration",P1,Needs audit,Exports and accounting statements,"Review filters, totals, precision, timezone and spreadsheet formula escaping.",page-and-tab-register.csv,Exports match the same scoped query and totals as the UI with safe cell content.
CA-09-07,9,"History, reporting and configuration",P1,Needs audit,Cache invalidation,"Review all report and balance caches after transactions, role changes and reconnect.",callsite-register.csv,Read-after-confirmation displays the committed version and cannot combine incompatible snapshots.
CA-09-08,9,"History, reporting and configuration",P1,Needs audit,Migration and live-body drift,"Compare applicable migration history, live signatures, function bodies and ACLs.",sql-declaration-register.csv,Historical declarations are not mistaken for active code; each live difference has provenance.
CA-10-01,10,"Integrity, protection, support and operations",P0,Needs audit,Club and union governance,"Review membership, invitations, ownership transfer, suspension and delegated roles.",page-and-tab-register.csv,Only current authorized actors can change scope or transact; role changes preserve historical attribution.
CA-10-02,10,"Integrity, protection, support and operations",P1,Needs audit,Player protection controls,"Inventory existing limits, exclusions, breaks and support controls; review agreed product policy.",page-and-tab-register.csv,Enforced server state survives alternate entry routes and reconnect; policy gaps are documented.
CA-10-03,10,"Integrity, protection, support and operations",P1,Needs audit,Dispute and support evidence,"Review hand/transaction lookup, case references and correction authorization.",page-and-tab-register.csv,Support can explain an outcome from immutable evidence without unaudited balance editing.
CA-10-04,10,"Integrity, protection, support and operations",P1,Needs audit,Integrity investigations,"Review existing reporting, suspicious activity evidence and privileged access.",page-and-tab-register.csv,"Evidence access is scoped, logged and separated from unauthorized outcome manipulation."
CA-10-05,10,"Integrity, protection, support and operations",P1,Needs audit,Notifications and social features,"Review recipients, unread state, retries, moderation and deep links.",callsite-register.csv,No tenant or private-data leak; repeated delivery cannot repeat a financial action.
CA-10-06,10,"Integrity, protection, support and operations",P1,Needs audit,Admin and operational tools,"Review every script, manual RPC and privileged page that changes economic state.",file-register.csv,All write doors use the same authorization and atomic ledger invariants as normal product flows.
CA-10-07,10,"Integrity, protection, support and operations",P1,Needs audit,Settings and lifecycle,"Review club setup, archival, configuration changes and account relationships.",page-and-tab-register.csv,"Lifecycle operations cannot orphan balances, tickets, tables or unsettled liabilities."
CA-11-01,11,"Every page, control and visual state",P1,Needs audit,All 125 page and tab files,"Use the page register as the mandatory per-file checklist, including nested tabs and development surfaces.",page-and-tab-register.csv,"Every row has tested roles, routes, states, dependencies and evidence or an explicit exclusion."
CA-11-02,11,"Every page, control and visual state",P1,Needs audit,All route declarations,"Resolve 168 discovered Route declarations, including 134 in App, and dynamic/redirect/layout behavior.",route-register.csv,"Direct load, back/forward, refresh, invalid ID and unauthorized route tests cover each production destination."
CA-11-03,11,"Every page, control and visual state",P1,Needs audit,All discovered controls,"Review 3,833 interactive JSX candidates and find interactions created dynamically or outside JSX.",ui-control-register.csv,"Every production control has correct wiring, disabled/loading/error/success states and keyboard behavior."
CA-11-04,11,"Every page, control and visual state",P1,Needs audit,Responsive layout,"Review desktop, narrow mobile, rotation, zoom, safe areas and overlapping navigation/modals.",page-and-tab-register.csv,Critical actions and amounts remain visible and usable without unintended horizontal clipping.
CA-11-05,11,"Every page, control and visual state",P1,Needs audit,Accessibility,"Review keyboard order, focus return, labels, contrast, announcements and error prevention.",ui-control-register.csv,WCAG 2.2 AA-oriented checks include actual assistive-technology testing of critical financial flows.
CA-11-06,11,"Every page, control and visual state",P1,Needs audit,"Store, VIP and rewards","Review product eligibility, purchase, entitlement, expiry, redemption and refund.",page-and-tab-register.csv,Displayed price matches the committed debit; entitlement and accounting share a durable operation.
CA-11-07,11,"Every page, control and visual state",P1,Needs audit,Assets and content,"Review indexed images, icons, fonts, text, broken links and placeholder content.",file-register.csv,"No broken assets, misleading controls or production-only placeholder states."
CA-11-08,11,"Every page, control and visual state",P1,Needs audit,State completeness,"Review empty, loading, timeout, offline, denied, expired and partially populated page states.",page-and-tab-register.csv,Users can recover without repeating an uncertain transaction or losing context.
CA-11-09,11,"Every page, control and visual state",P1,Needs audit,Realtime visual correctness,"Review hand animations, balances, badges, notifications and stale component closures.",module-import-register.csv,Visual transitions reflect authoritative sequence and never imply an uncommitted financial result.
CA-11-10,11,"Every page, control and visual state",P2,Needs audit,Dead and duplicate surfaces,"Classify archives, previews, unreachable pages and duplicated service/UI implementations.",file-register.csv,Production surface is explicit; removal or consolidation follows verified usage and does not silently remove features.
CA-12-01,12,"Performance, resilience and release gates",P0,Needs audit,Financial concurrency suite,Build shared property and failure-injection tests for every financial operation family.,live-rpc-register.csv,"Conservation, isolation, authorization and payload-bound idempotency hold under competing and interrupted operations."
CA-12-02,12,"Performance, resilience and release gates",P1,Needs audit,Database contention and queries,"Review transaction duration, lock order, indexes, plans and hot-account contention.",live-relation-register.csv,Measured peak-load tests meet agreed latency budgets without partial commits or unbounded deadlock retries.
CA-12-03,12,"Performance, resilience and release gates",P1,Needs audit,Runtime and client load,"Measure tables, sockets, memory, rendering, network volume and bundle size.",file-register.csv,Agreed capacity and responsiveness budgets pass with representative simultaneous games and users.
CA-12-04,12,"Performance, resilience and release gates",P0,Needs audit,Backup and restore proof,"Review database/WAL backups, restore procedures, secrets and ledger evidence continuity.",docs/CLUB-ARENA-12-PHASE-AUDIT.md,An isolated restore meets agreed recovery objectives and verifies journals and outstanding liabilities.
CA-12-05,12,"Performance, resilience and release gates",P0,Needs audit,Migration and rollback safety,"Review forward compatibility, grants, live definitions and old/new client coexistence.",sql-declaration-register.csv,Normal releases preserve invariants throughout deployment; rollback cannot revive retired unsafe writers.
CA-12-06,12,"Performance, resilience and release gates",P1,Needs audit,Hetzner publication verification,"Verify documented push path, CI, static origin, public route and scheduled engine adoption separately.",docs/CLUB-ARENA-12-PHASE-AUDIT.md,Published versions match approved commits and required tests; no manual production bypass.
CA-12-07,12,"Performance, resilience and release gates",P1,Needs audit,Dependency and supply-chain review,"Review lockfiles, build actions, server packages and known advisories using current primary sources.",file-register.csv,Applicable vulnerabilities and unsupported components have validated fixes or explicit outstanding records.
CA-12-08,12,"Performance, resilience and release gates",P1,Needs audit,Integration boundary coverage,"Trace dynamic RPCs, indirect helpers, cron, storage and external callbacks missing from the literal-source catalog.",callsite-register.csv,"Every runtime write entrypoint has an owner, authorization check, invariant and test evidence."
CA-12-09,12,"Performance, resilience and release gates",P1,Needs audit,CI regression gates,Enforce critical negative/concurrency tests and prevent silent reintroduction of legacy writers or repair jobs.,existing-repair-debt-register.csv,A deliberately broken invariant fails CI; skipped browser/deployment suites are never reported as passed.
CA-12-10,12,"Performance, resilience and release gates",P1,Needs audit,Final cross-phase acceptance,"Close each item only after source review, meaningful tests, merged code and relevant runtime evidence.",docs/CLUB-ARENA-12-PHASE-AUDIT.md,No blanket '100% safe forever' claim; every open or untested item remains visible with ownership.
