definition,enabled,function_hash,function_name,table_name,trigger_name,status
CREATE TRIGGER trg_bbj_recipients_delete_guard BEFORE DELETE ON public.bbj_payout_recipients FOR EACH ROW EXECUTE FUNCTION fn_bbj_ledger_delete_guard(),O,dfb9effe2ffc304da21d61a66431f4bb,fn_bbj_ledger_delete_guard,bbj_payout_recipients,trg_bbj_recipients_delete_guard,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_bbj_payouts_delete_guard BEFORE DELETE ON public.bbj_payouts FOR EACH ROW EXECUTE FUNCTION fn_bbj_ledger_delete_guard(),O,dfb9effe2ffc304da21d61a66431f4bb,fn_bbj_ledger_delete_guard,bbj_payouts,trg_bbj_payouts_delete_guard,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_log_jackpot_payout_without_hand AFTER INSERT ON public.bbj_payouts FOR EACH ROW EXECUTE FUNCTION fn_log_jackpot_payout_without_hand(),O,4a68a5f2c9c75a3e9ff7551bec0e22d9,fn_log_jackpot_payout_without_hand,bbj_payouts,trg_log_jackpot_payout_without_hand,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
"CREATE TRIGGER trg_ca_autoledger AFTER INSERT OR UPDATE OF main_balance, backup_balance, promo_balance ON public.bbj_pools FOR EACH ROW EXECUTE FUNCTION fn_ca_autoledger('main_balance=bbj_pool', 'backup_balance=bbj_pool', 'promo_balance=bbj_pool')",O,2ff8923b4c2d8fd3d343cf37acce0f2c,fn_ca_autoledger,bbj_pools,trg_ca_autoledger,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
"CREATE TRIGGER trg_ca_autoledger_delete BEFORE DELETE ON public.bbj_pools FOR EACH ROW EXECUTE FUNCTION fn_ca_autoledger_delete('main_balance=bbj_pool', 'backup_balance=bbj_pool', 'promo_balance=bbj_pool')",O,c6d7e02df8b654fbccc3e8844418bd01,fn_ca_autoledger_delete,bbj_pools,trg_ca_autoledger_delete,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_ca_block_browser BEFORE INSERT OR DELETE OR UPDATE ON public.bbj_pools FOR EACH ROW EXECUTE FUNCTION fn_ca_block_browser_money_table(),O,c894814808498e86ac14d59924cfa145,fn_ca_block_browser_money_table,bbj_pools,trg_ca_block_browser,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_guard_retired_club_mutation BEFORE INSERT OR DELETE OR UPDATE ON public.bbj_pools FOR EACH ROW EXECUTE FUNCTION fn_guard_retired_club_mutation(),O,b82be212e7ccf2a15637c231861ff993,fn_guard_retired_club_mutation,bbj_pools,trg_guard_retired_club_mutation,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_bbj_winners_delete_guard BEFORE DELETE ON public.bbj_winners FOR EACH ROW EXECUTE FUNCTION fn_bbj_ledger_delete_guard(),O,dfb9effe2ffc304da21d61a66431f4bb,fn_bbj_ledger_delete_guard,bbj_winners,trg_bbj_winners_delete_guard,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_blacklists_audit AFTER INSERT OR DELETE ON public.blacklists FOR EACH ROW EXECUTE FUNCTION fn_blacklists_audit(),O,2be2f16366cbff3ee961a2be3254f783,fn_blacklists_audit,blacklists,trg_blacklists_audit,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_ca_hand_facts_strip_unpaid_holding BEFORE INSERT OR UPDATE ON public.ca_hand_facts FOR EACH ROW EXECUTE FUNCTION fn_ca_hand_facts_strip_unpaid_holding(),O,0087000e038b20db248859abb5a87b1a,fn_ca_hand_facts_strip_unpaid_holding,ca_hand_facts,trg_ca_hand_facts_strip_unpaid_holding,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_ca_hand_flags_touch BEFORE UPDATE ON public.ca_hand_flags FOR EACH ROW EXECUTE FUNCTION fn_ca_hand_flags_touch(),O,d6b78f64688f5253d031ce96896c28f5,fn_ca_hand_flags_touch,ca_hand_flags,trg_ca_hand_flags_touch,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_ca_hand_notes_touch BEFORE INSERT OR UPDATE ON public.ca_hand_notes FOR EACH ROW EXECUTE FUNCTION fn_ca_hand_notes_touch(),O,26b04f424e3f17197ef47d57d9da7690,fn_ca_hand_notes_touch,ca_hand_notes,trg_ca_hand_notes_touch,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
"CREATE TRIGGER zz_cash_game_floor_from_template BEFORE INSERT OR UPDATE OF ruleset_snapshot, template_name, variant ON public.cash_games FOR EACH ROW EXECUTE FUNCTION fn_cash_game_floor_from_template()",O,cc91b29bfb4df66f0f5565c5f847c0d7,fn_cash_game_floor_from_template,cash_games,zz_cash_game_floor_from_template,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
"CREATE TRIGGER zz_one_game_per_blind_category BEFORE INSERT OR UPDATE OF enabled, template_name, variant, bb, club_id ON public.cash_games FOR EACH ROW EXECUTE FUNCTION fn_guard_one_game_per_blind_category()",O,bfa7655bb832ec1f9ef7c165f00ad293,fn_guard_one_game_per_blind_category,cash_games,zz_one_game_per_blind_category,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER zz_cash_seat_move_window BEFORE INSERT ON public.cash_seat_moves FOR EACH ROW EXECUTE FUNCTION fn_cash_seat_move_set_window(),O,95d1775d8855bae113608dae9fe1f79b,fn_cash_seat_move_set_window,cash_seat_moves,zz_cash_seat_move_window,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER tr_notify_agent_on_cashout AFTER INSERT ON public.cashout_requests FOR EACH ROW WHEN ((new.status = 'pending'::text)) EXECUTE FUNCTION fn_notify_agent_on_cashout(),O,03ad337a54df0e06df003f03fc3f8331,fn_notify_agent_on_cashout,cashout_requests,tr_notify_agent_on_cashout,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_guard_retired_club_mutation BEFORE INSERT OR DELETE OR UPDATE ON public.cashout_requests FOR EACH ROW EXECUTE FUNCTION fn_guard_retired_club_mutation(),O,b82be212e7ccf2a15637c231861ff993,fn_guard_retired_club_mutation,cashout_requests,trg_guard_retired_club_mutation,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_ca_append_only BEFORE DELETE OR UPDATE ON public.chip_ledger FOR EACH ROW EXECUTE FUNCTION fn_ca_journal_append_only(),O,26088333080b714faa24e60497a460e2,fn_ca_journal_append_only,chip_ledger,trg_ca_append_only,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_ca_chip_ledger_enrich BEFORE INSERT ON public.chip_ledger FOR EACH ROW EXECUTE FUNCTION fn_ca_chip_ledger_enrich(),O,5931f47d922eea26ab1ea2b12f3f7c8c,fn_ca_chip_ledger_enrich,chip_ledger,trg_ca_chip_ledger_enrich,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_chip_ledger_performed_by BEFORE INSERT ON public.chip_ledger FOR EACH ROW EXECUTE FUNCTION enforce_chip_ledger_performed_by(),O,ce4ab3013be283d66ab9afd1e861b552,enforce_chip_ledger_performed_by,chip_ledger,trg_chip_ledger_performed_by,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER zz_ca_attested_day_is_restated_del AFTER DELETE ON public.chip_ledger REFERENCING OLD TABLE AS old_rows FOR EACH STATEMENT EXECUTE FUNCTION fn_ca_attested_day_is_restated(),O,268e0f244b2df7f88b933530b1cad822,fn_ca_attested_day_is_restated,chip_ledger,zz_ca_attested_day_is_restated_del,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER zz_ca_attested_day_is_restated_upd AFTER UPDATE ON public.chip_ledger REFERENCING OLD TABLE AS old_rows NEW TABLE AS new_rows FOR EACH STATEMENT EXECUTE FUNCTION fn_ca_attested_day_is_restated(),O,268e0f244b2df7f88b933530b1cad822,fn_ca_attested_day_is_restated,chip_ledger,zz_ca_attested_day_is_restated_upd,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
"CREATE TRIGGER zz_ca_escrow_overlay_leg AFTER INSERT ON public.chip_ledger FOR EACH ROW WHEN (((new.to_type = 'prize_liability'::text) AND ((new.category = 'overlay'::text) OR ((new.category = 'correction'::text) AND (new.from_type = ANY (ARRAY['union_bank'::text, 'club_treasury'::text])))))) EXECUTE FUNCTION fn_ca_escrow_on_overlay_leg()",O,1b916fb576271d94c481099c11ca8b93,fn_ca_escrow_on_overlay_leg,chip_ledger,zz_ca_escrow_overlay_leg,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
"CREATE TRIGGER zz_ca_escrow_reserve_leg AFTER INSERT ON public.chip_ledger FOR EACH ROW WHEN ((new.category = ANY (ARRAY['spin_entry'::text, 'spin_prize'::text]))) EXECUTE FUNCTION fn_ca_escrow_on_reserve_leg()",O,0d7f735d58aadeb6fe03e9daf5e21a92,fn_ca_escrow_on_reserve_leg,chip_ledger,zz_ca_escrow_reserve_leg,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER zz_ca_escrow_seat_transfer_leg AFTER INSERT ON public.chip_ledger FOR EACH ROW WHEN (((new.to_type = 'prize_liability'::text) AND (new.idempotency_key ~~ 'tourney:%:seat:%:pool_transfer'::text))) EXECUTE FUNCTION fn_ca_escrow_on_seat_transfer_leg(),O,e9c56f9c21635b21c7cf0d456eb18b8a,fn_ca_escrow_on_seat_transfer_leg,chip_ledger,zz_ca_escrow_seat_transfer_leg,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
"CREATE CONSTRAINT TRIGGER zz_ca_issuance_leg_is_registered AFTER INSERT ON public.chip_ledger DEFERRABLE INITIALLY DEFERRED FOR EACH ROW WHEN (((new.from_type = ANY (ARRAY['system_mint'::text, 'system_burn'::text, 'issuance_reserve'::text, 'chip_retirement'::text])) OR (new.to_type = ANY (ARRAY['system_mint'::text, 'system_burn'::text, 'issuance_reserve'::text, 'chip_retirement'::text])))) EXECUTE FUNCTION fn_ca_issuance_leg_is_registered()",O,7a41ac630bad489e02f05f47ff5ffa1e,fn_ca_issuance_leg_is_registered,chip_ledger,zz_ca_issuance_leg_is_registered,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER zz_chip_ledger_key_is_claimed_once BEFORE INSERT ON public.chip_ledger FOR EACH ROW EXECUTE FUNCTION zz_chip_ledger_key_is_claimed_once(),O,57a2b2eb1bc5b1c5ac36394c2ac23bcd,zz_chip_ledger_key_is_claimed_once,chip_ledger,zz_chip_ledger_key_is_claimed_once,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER zz_freeze_guard BEFORE INSERT OR DELETE OR UPDATE ON public.chip_ledger FOR EACH ROW EXECUTE FUNCTION fn_refuse_while_frozen(),O,3a866372172806a8a69cc3d37413f0cc,fn_refuse_while_frozen,chip_ledger,zz_freeze_guard,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_guard_retired_club_mutation BEFORE INSERT OR DELETE OR UPDATE ON public.chip_requests FOR EACH ROW EXECUTE FUNCTION fn_guard_retired_club_mutation(),O,b82be212e7ccf2a15637c231861ff993,fn_guard_retired_club_mutation,chip_requests,trg_guard_retired_club_mutation,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_ca_append_only BEFORE DELETE OR UPDATE ON public.chip_transactions FOR EACH ROW EXECUTE FUNCTION fn_ca_journal_append_only(),O,26088333080b714faa24e60497a460e2,fn_ca_journal_append_only,chip_transactions,trg_ca_append_only,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER zz_freeze_guard BEFORE INSERT OR DELETE OR UPDATE ON public.chip_transactions FOR EACH ROW EXECUTE FUNCTION fn_refuse_while_frozen(),O,3a866372172806a8a69cc3d37413f0cc,fn_refuse_while_frozen,chip_transactions,zz_freeze_guard,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER zz_settlement_freeze_guard BEFORE INSERT ON public.chip_transactions FOR EACH ROW EXECUTE FUNCTION fn_refuse_operator_move_while_settling(),O,4dd93ff68d573144d73edc71e166f36f,fn_refuse_operator_move_while_settling,chip_transactions,zz_settlement_freeze_guard,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_announcements_emit_management_event AFTER INSERT OR DELETE OR UPDATE ON public.club_announcements FOR EACH ROW EXECUTE FUNCTION fn_emit_management_content_event(),O,2f5883eca4e555ddaacf18fb71e9704f,fn_emit_management_content_event,club_announcements,trg_announcements_emit_management_event,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
"CREATE TRIGGER trg_sync_club_announcement_message BEFORE INSERT OR UPDATE OF title, content, message ON public.club_announcements FOR EACH ROW EXECUTE FUNCTION fn_sync_club_announcement_message()",O,24231686f7c5cab596f7e2f7113c804c,fn_sync_club_announcement_message,club_announcements,trg_sync_club_announcement_message,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_guard_retired_club_mutation BEFORE INSERT OR DELETE OR UPDATE ON public.club_diamond_wallets FOR EACH ROW EXECUTE FUNCTION fn_guard_retired_club_mutation(),O,b82be212e7ccf2a15637c231861ff993,fn_guard_retired_club_mutation,club_diamond_wallets,trg_guard_retired_club_mutation,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER club_members_updated_at BEFORE UPDATE ON public.club_members FOR EACH ROW EXECUTE FUNCTION update_updated_at_column(),O,54801f8bc343c4928383a3e7a1d57d61,update_updated_at_column,club_members,club_members_updated_at,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER lock_cashier_hierarchy_insert_delete BEFORE INSERT OR DELETE ON public.club_members FOR EACH ROW EXECUTE FUNCTION lock_club_cashier_hierarchy_mutation(),O,2bf2e0dc1876c5b1238603fc18558907,lock_club_cashier_hierarchy_mutation,club_members,lock_cashier_hierarchy_insert_delete,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
"CREATE TRIGGER lock_cashier_hierarchy_update BEFORE UPDATE OF club_id, agent_id, role, status ON public.club_members FOR EACH ROW EXECUTE FUNCTION lock_club_cashier_hierarchy_mutation()",O,2bf2e0dc1876c5b1238603fc18558907,lock_club_cashier_hierarchy_mutation,club_members,lock_cashier_hierarchy_update,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER poker_arena_membership_guard BEFORE INSERT OR UPDATE ON public.club_members FOR EACH ROW EXECUTE FUNCTION fn_poker_guard_arena_structure(),O,3f7340188c01e84f8c0a21597bd6fc03,fn_poker_guard_arena_structure,club_members,poker_arena_membership_guard,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
"CREATE TRIGGER trg_admin_holds_no_player_wallet BEFORE INSERT OR UPDATE OF role, chip_balance ON public.club_members FOR EACH ROW EXECUTE FUNCTION fn_admin_holds_no_player_wallet()",O,3c54c86c548917606c846febfadf704b,fn_admin_holds_no_player_wallet,club_members,trg_admin_holds_no_player_wallet,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_approval_gate_ins BEFORE INSERT ON public.club_members FOR EACH ROW EXECUTE FUNCTION fn_membership_approval_gate(),O,b5edea413fa87af75f47b925a23b1d10,fn_membership_approval_gate,club_members,trg_approval_gate_ins,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_approval_gate_upd BEFORE UPDATE OF status ON public.club_members FOR EACH ROW EXECUTE FUNCTION fn_membership_approval_gate(),O,b5edea413fa87af75f47b925a23b1d10,fn_membership_approval_gate,club_members,trg_approval_gate_upd,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_audit_club_join AFTER INSERT OR UPDATE OF status ON public.club_members FOR EACH ROW EXECUTE FUNCTION fn_audit_club_entry_mutation(),O,d26149a3b10aa00618a98f5076ebf079,fn_audit_club_entry_mutation,club_members,trg_audit_club_join,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_audit_club_member_delete AFTER DELETE ON public.club_members FOR EACH ROW EXECUTE FUNCTION fn_audit_club_member_change(),O,06515aa426034c1174450e2dc37204ef,fn_audit_club_member_change,club_members,trg_audit_club_member_delete,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
"CREATE TRIGGER trg_audit_club_member_update AFTER UPDATE OF role, status ON public.club_members FOR EACH ROW EXECUTE FUNCTION fn_audit_club_member_change()",O,06515aa426034c1174450e2dc37204ef,fn_audit_club_member_change,club_members,trg_audit_club_member_update,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_block_browser_balance_inserts BEFORE INSERT ON public.club_members FOR EACH ROW EXECUTE FUNCTION fn_block_browser_balance_inserts(),O,88e61c03b82bedcdc67113f795355d4a,fn_block_browser_balance_inserts,club_members,trg_block_browser_balance_inserts,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_block_browser_balance_writes BEFORE UPDATE ON public.club_members FOR EACH ROW EXECUTE FUNCTION fn_block_browser_balance_writes(),O,c7390598f411e7d6bc4b8daf00e12c6e,fn_block_browser_balance_writes,club_members,trg_block_browser_balance_writes,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_ca_autoledger AFTER UPDATE OF promo_balance ON public.club_members FOR EACH ROW EXECUTE FUNCTION fn_ca_autoledger('promo_balance=promo_wallet'),O,2ff8923b4c2d8fd3d343cf37acce0f2c,fn_ca_autoledger,club_members,trg_ca_autoledger,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
"CREATE TRIGGER trg_ca_autoledger_delete BEFORE DELETE ON public.club_members FOR EACH ROW EXECUTE FUNCTION fn_ca_autoledger_delete('chip_balance=player_wallet', 'promo_balance=promo_wallet')",O,c6d7e02df8b654fbccc3e8844418bd01,fn_ca_autoledger_delete,club_members,trg_ca_autoledger_delete,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
"CREATE TRIGGER trg_ca_autoledger_insert AFTER INSERT ON public.club_members FOR EACH ROW WHEN (((COALESCE(new.chip_balance, (0)::numeric) <> (0)::numeric) OR (COALESCE(new.promo_balance, (0)::numeric) <> (0)::numeric))) EXECUTE FUNCTION fn_ca_autoledger('chip_balance=player_wallet', 'promo_balance=promo_wallet')",O,2ff8923b4c2d8fd3d343cf37acce0f2c,fn_ca_autoledger,club_members,trg_ca_autoledger_insert,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
"CREATE TRIGGER trg_club_member_notes_guard BEFORE UPDATE OF nickname, notes ON public.club_members FOR EACH ROW EXECUTE FUNCTION fn_club_member_notes_guard()",O,cc7bae672aea44a800052d2aba490360,fn_club_member_notes_guard,club_members,trg_club_member_notes_guard,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_club_members_audit_chip_movement AFTER UPDATE OF chip_balance ON public.club_members FOR EACH ROW WHEN ((old.chip_balance IS DISTINCT FROM new.chip_balance)) EXECUTE FUNCTION fn_club_members_ledger_writer(),O,dce647ac9faaf39799ffbee37580f32d,fn_club_members_ledger_writer,club_members,trg_club_members_audit_chip_movement,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
"CREATE TRIGGER trg_club_members_bot_follows_horse BEFORE INSERT OR UPDATE OF user_id, is_bot ON public.club_members FOR EACH ROW EXECUTE FUNCTION fn_club_members_bot_follows_horse()",O,f90077b45a854a4f130d06c28c25d4a5,fn_club_members_bot_follows_horse,club_members,trg_club_members_bot_follows_horse,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_club_members_emit_management_access AFTER INSERT OR DELETE OR UPDATE ON public.club_members FOR EACH ROW EXECUTE FUNCTION fn_emit_management_access_event(),O,9963925e6cd6da557b9de6f1749db0fd,fn_emit_management_access_event,club_members,trg_club_members_emit_management_access,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
CREATE TRIGGER trg_club_members_guard_lifecycle_write BEFORE UPDATE ON public.club_members FOR EACH ROW EXECUTE FUNCTION fn_guard_membership_lifecycle_write(),O,bb2eca3ab004597dbd9137f78951e943,fn_guard_membership_lifecycle_write,club_members,trg_club_members_guard_lifecycle_write,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
"CREATE TRIGGER trg_club_members_human_user_club_only BEFORE INSERT OR UPDATE OF club_id, user_id, is_bot ON public.club_members FOR EACH ROW EXECUTE FUNCTION fn_ca_reject_automated_user_club_row()",O,7c73094df30c90f94a78cbbd5d24f504,fn_ca_reject_automated_user_club_row,club_members,trg_club_members_human_user_club_only,"Enabled: Verify Body, Scope, Ordering And Transaction Behavior"
