id,original_phase,build_phase,owner,status,title,required_work,acceptance
CA-03-10,3,4,Codex,Needs audit,Satellite awards and ticket liabilities,"Review the hardened funding path plus ticket mint, ownership, redemption and award completion.",Tickets and underlying liabilities are created/redeemed once with recipient and tournament binding.
CA-03-11,3,4,Codex,Needs audit,"Unregister, cancellation and outage",Review approved pre-start unregister and common origin-wallet refund; inspect cancellation and interrupted-event policy.,Refunds return once to the proper origin; no invented satellite refund subsystem.
CA-03-12,3,4,Codex,Needs audit,Tournament client wiring,Exercise all create/edit/register/rebuy/addon/deal/results pages and permission states.,"Displayed options, server acceptance and persisted state agree for MTT, SNG and Spins."
CA-04-01,4,1,Codex,local verification; release pending,Legacy agent self-transfer routing,Replace active legacy wallet-pool self-transfer with club-scoped canonical self-stake after identity and ownership mapping.,Both AgentPortalPage and AgentFinancialPortal use agents.user_id/club identity correctly and canonical balances; no guessed historical balance migration.
CA-04-02,4,1,Codex,local verification; release pending,Agent transfer retry identity,Move AgentService.transferToPlayer operation creation to the durable business intent and validate finite amount and strict receipt.,"Lost response, reload and repeated submit reuse the same key; altered payload and malformed success cannot credit."
CA-04-03,4,6,Codex,Needs audit,Global wallet writer inventory,"Trace every balance-writing RPC, trigger, service, admin script and indirect helper to an authorized journal transaction.",No unregistered balance write or independently committed journal leg remains.
CA-04-04,4,6,Codex,Needs audit,Accounting transaction primitive,"Verify debit, credit, journal, receipt and state transition commit together with conservation constraints.",Injected failure at each statement leaves no partial state; valid retry returns the original result.
CA-04-05,4,6,Codex,Needs audit,Precision and limits,"Review smallest units, numeric scale, rounding, bounds, NaN/infinity and JSON conversions per asset.","No floating-point loss, negative authorization bypass, overflow or cross-asset balancing."
CA-04-06,4,6,Codex,Needs audit,Cashier send and take-back,"Trace player, agent, club and union send/recall paths including roles and insufficient funds.",Authorized parties only; serialized competing spends cannot overdraw or take another tenant's funds.
CA-04-07,4,6,Codex,Needs audit,Cashout approvals and reversals,"Review requests, approvals, denial, cancellation and external settlement evidence.",One legal state transition and one financial disposition; external uncertainty does not cause duplicate payment.
CA-04-08,4,6,Codex,Needs audit,Wallet type and tenant boundary,"Review player, business, promo, treasury and legacy global pools for every caller.","All reads and writes agree on owner, club, asset and account purpose; retired paths are explicit."
CA-04-09,4,6,Codex,Needs audit,Ticket sending and redemption,"Review issue, send, take-back, expiration, redemption and duplicate-use protection.",Ownership transitions and liabilities are atomic and payload-bound; concurrent redemption succeeds once.
CA-04-10,4,6,Codex,Needs audit,Chip mint and burn,"Review authorized issuance, source account, supply effects and audit actor.",Every issuance or destruction has an explicit balanced journal and correct authorization.
CA-04-11,4,6,Codex,Needs audit,Diamond economy,"Trace purchase, grant, spend, refund, gifting and chip conversion where supported.",Diamond and chip ledgers remain separately balanced; retries cannot repeat grants or conversion.
CA-04-12,4,6,Codex,Needs audit,Cashier UI receipts,"Review pending, rejected and confirmed states and history deduplication on all cashier controls.",UI never announces success before an authoritative matching receipt; refresh reproduces the same outcome.
CA-05-01,5,5,Codex,Needs audit,Rake calculation and caps,"Review all game-type rates, caps, eligibility, no-flop rules and smallest-unit rounding against approved configuration.",Independent calculation vectors cover boundary pots and all supported table rules without changing approved economics.
CA-05-02,5,5,Codex,Needs audit,Union-to-club attribution,"Trace collected rake, owning union/club and settlement period to actual treasury credits.",Each hand belongs to one correct scope and period; no duplicate distribution or orphan liability.
CA-05-03,5,5,Codex,Needs audit,Agent and player rake shares,"Trace club-to-agent hierarchy, subagents and player rakeback including hierarchy changes.",Approved rates apply to immutable earning context; total distributions do not exceed their funded basis.
CA-05-04,5,5,Codex,Needs audit,Weighted attribution versus payment,Separate contribution statistics and rewards attribution from actual rake and cash credits.,Weighted statistics cannot mint funds or generate an additional financial credit.
CA-05-05,5,5,Codex,Needs audit,"BBJ main, backup and promo split",Review every collection path with main fixed at 50%; recover approved backup/promo configuration and rounding policy.,All three legs commit together and sum to collection; no assumed 25/25 split.
CA-05-06,5,5,Codex,Needs audit,BBJ payout and replenishment,"Review eligibility, claim approval, main payout, backup transfer and post-win pool state.",One funded award; replenishment is a traceable transfer and cannot duplicate on retry.
CA-05-07,5,5,Codex,Needs audit,BBJ reporting identity,"Review pool/club/union/hand labels, bucket identity and time-window reports.","Reports reproduce all three correctly labeled legs, including the completed original incident correction."
CA-05-08,5,5,Codex,Needs audit,Promo credits and redemption,"Review allocations, accrual, grant, expiry and spend/refund rules.",Promo liabilities and funding remain explicit; retries and expired eligibility cannot create free chips.
CA-05-09,5,5,Codex,Needs audit,Period close and settlement,"Review union treasury close, overlapping periods, late events and repeated settlement.",No event is omitted or paid twice; immutable period ownership and journal evidence survive retry.
CA-05-10,5,5,Codex,Needs audit,Retire repair dependencies,Work through all 32 existing allowlist entries after their source invariants are proven.,Allowlist only shrinks; retire obsolete repair jobs without replacing them with renamed watchers.
CA-06-01,6,7,Codex,Needs audit,Security-definer RPC review,"Review bodies, fixed search paths, caller checks and grants for 426 observed definer overloads.","Untrusted callers cannot impersonate owners, choose unauthorized tenants or invoke privileged helpers."
CA-06-02,6,7,Codex,Needs audit,Anonymous callable RPCs,Classify and adversarially test the 21 observed anon-executable overloads.,Public exposure is intentional and minimum-privilege; catalog exposure alone is not labeled an exploit.
CA-06-03,6,7,Codex,Needs audit,RLS policy correctness,Review all policies and role combinations on the 179 observed relations plus indirect dependencies.,Cross-tenant read/write attempts fail; service-role paths independently enforce business authorization.
CA-06-04,6,7,Codex,Needs audit,Session and account lifecycle,"Review sign-in, refresh, logout, revocation, role changes and account deletion.",Revoked sessions and stale role caches cannot retain sensitive access.
CA-06-05,6,7,Codex,Needs audit,Endpoint and socket authorization,Trace all 28 server router branches plus dynamic/API/socket entrypoints.,"Every command authenticates scope, actor and current authority; no trusted client financial fields."
CA-06-06,6,7,Codex,Needs audit,Secret and deployment configuration,Review documented .env names and deployment paths without printing values; verify Hetzner-only Club Arena publication.,"Secrets remain server-only; no browser bundles, logs or reports disclose credentials."
CA-06-07,6,7,Codex,Needs audit,Storage authorization,"Trace assets, club-assets and images candidates through bucket policies and signed URLs.","Upload/read/delete authorization, file validation and object ownership are tested."
CA-06-08,6,7,Codex,Needs audit,Abuse and request validation,"Review schema bounds, rate limits, CSRF/CORS and replay/duplicate handling where applicable.",Malformed or abusive requests fail without corrupting state or starving unrelated tables.
CA-07-01,7,3,Codex,Confirmed source gap,Incomplete cash-hand recovery,Replace snapshot completion-only recovery with an authoritative interrupted-hand state protocol.,"Restart restores or deterministically resolves the accepted hand without losing bets, changing cards or guessing refunds."
CA-07-02,7,3,Codex,Confirmed ordering gap,Snapshot completion before settlement,Move durable completion behind authoritative hand settlement and disposition evidence.,Crash at every boundary cannot mark an unsettled hand complete or commit its financial effects twice.
CA-07-03,7,3,Codex,Needs audit,Accepted action durability,"Trace action acceptance, persistence, sequence numbers and response ordering.",Acknowledged action survives process loss; replay neither omits nor duplicates an action.
CA-07-04,7,3,Codex,Needs audit,Lease and stale owner fencing,Review all hand and table writers against the shared lease and canonical commit protocol.,Old engine owners cannot settle or mutate after ownership changes.
CA-07-05,7,3,Codex,Needs audit,Realtime sequence and resubscription,"Review socket/subscription reconnect, duplicates, gaps and ordering.","Clients converge on authoritative state after dropped, reordered and repeated events."
CA-07-06,7,3,Codex,Needs audit,Mobile and PWA resume,"Review sleep, background, network switch, multiple tabs and cached releases.",Resume restores current hand and wallet state without resubmitting a financial intent.
CA-07-07,7,3,Codex,Needs audit,Maintenance freeze and thaw,"Review scheduled lifecycle, in-flight transactions and normal engine version adoption.",No guard bypass or forced restart; operations are either committed or safely rejected during the boundary.
CA-07-08,7,3,Codex,Needs audit,External effect protocol,Identify effects outside the database and use durable intent plus destination idempotency where available.,Lost responses cannot produce duplicate external payouts; do not claim a database transaction controls external networks.
CA-08-01,8,8,Codex,Needs audit,Lobby listings and filters,"Review club/union visibility, stakes, variants, search, pagination and stale occupancy.",Filters and counts match authorized live data across refresh and subscription loss.
CA-08-02,8,8,Codex,Needs audit,Seat claims and reservations,"Review simultaneous seat joins, reservation expiry and seat generation.",One occupant per seat and one authorized funded buy-in; expired claims cannot steal new seats.
CA-08-03,8,8,Codex,Needs audit,Waitlists and auto-seat,"Review queue fairness, claim acceptance, timeout and funding handoff.",A claim is consumed once and cannot bypass club membership or wallet checks.
CA-08-04,8,8,Codex,Needs audit,"Buy-in, top-up and rebuy wiring",Trace manual and automatic funding while seated and between hands.,One escrow transfer per accepted intent; no stack change occurs before the confirmed transaction.
CA-08-05,8,8,Codex,Needs audit,Multi-table navigation,"Review table switching, simultaneous sessions, active-table identity and wallet refresh.",Actions and financial confirmations always target the intended table and seat.
CA-08-06,8,8,Codex,Needs audit,Warm tables and lifecycle,"Review creation, idle shutdown, occupancy authority and restart attachment.",Tables do not accept play without an authoritative engine; no ghost seats or duplicate owners.
CA-08-07,8,8,Codex,Needs audit,Spectator and player views,Review watch/join transitions and private/public payload boundaries.,Spectators see only public data and cannot issue player-only commands.
CA-08-08,8,8,Codex,Needs audit,Join and leave feedback,"Review full tables, insufficient funds, membership rejection and interrupted requests.",Every control reports a clear durable outcome without trapping a reservation or presenting false success.
CA-09-01,9,9,Codex,Needs audit,Balance reconstruction,"Review event time, recording time, account identity and immutable corrections.",Balances at a cutoff are reproducible from valid ledger semantics; journal-only corrections are explicit.
CA-09-02,9,9,Codex,Needs audit,Incident semantics,"Separate true imbalance, execution failure, missing evidence and delayed reads in incident classification.",Zero discrepancy is not silently treated as proof of health or corruption; resolution cites exact evidence.
CA-09-03,9,9,Codex,Needs audit,Hand and tournament history,"Review completeness, pagination, participants, awards and visibility.",History matches authoritative outcomes and never leaks hidden information.
CA-09-04,9,9,Codex,Needs audit,"Player, agent and club statistics","Review denominators, weighted attribution, currencies, timezone and period boundaries.",Reports match independently derived fixtures and distinguish statistics from cash credits.
CA-09-05,9,9,Codex,Needs audit,Configuration authority,"Trace every editable rate, cap, timer, prize and rule from UI to server/database authority.",One approved effective configuration applies at the right boundary; clients cannot override it.
CA-09-06,9,9,Codex,Needs audit,Exports and accounting statements,"Review filters, totals, precision, timezone and spreadsheet formula escaping.",Exports match the same scoped query and totals as the UI with safe cell content.
CA-09-07,9,9,Codex,Needs audit,Cache invalidation,"Review all report and balance caches after transactions, role changes and reconnect.",Read-after-confirmation displays the committed version and cannot combine incompatible snapshots.
CA-09-08,9,9,Codex,Needs audit,Migration and live-body drift,"Compare applicable migration history, live signatures, function bodies and ACLs.",Historical declarations are not mistaken for active code; each live difference has provenance.
CA-10-01,10,10,Codex,Needs audit,Club and union governance,"Review membership, invitations, ownership transfer, suspension and delegated roles.",Only current authorized actors can change scope or transact; role changes preserve historical attribution.
CA-10-02,10,10,Codex,Needs audit,Player protection controls,"Inventory existing limits, exclusions, breaks and support controls; review agreed product policy.",Enforced server state survives alternate entry routes and reconnect; policy gaps are documented.
CA-10-03,10,10,Codex,Needs audit,Dispute and support evidence,"Review hand/transaction lookup, case references and correction authorization.",Support can explain an outcome from immutable evidence without unaudited balance editing.
CA-10-04,10,10,Codex,Needs audit,Integrity investigations,"Review existing reporting, suspicious activity evidence and privileged access.","Evidence access is scoped, logged and separated from unauthorized outcome manipulation."
CA-10-05,10,10,Codex,Needs audit,Notifications and social features,"Review recipients, unread state, retries, moderation and deep links.",No tenant or private-data leak; repeated delivery cannot repeat a financial action.
CA-10-06,10,10,Codex,Needs audit,Admin and operational tools,"Review every script, manual RPC and privileged page that changes economic state.",All write doors use the same authorization and atomic ledger invariants as normal product flows.
CA-10-07,10,10,Codex,Needs audit,Settings and lifecycle,"Review club setup, archival, configuration changes and account relationships.","Lifecycle operations cannot orphan balances, tickets, tables or unsettled liabilities."
CA-11-01,11,11,Codex,Needs audit,All 125 page and tab files,"Use the page register as the mandatory per-file checklist, including nested tabs and development surfaces.","Every row has tested roles, routes, states, dependencies and evidence or an explicit exclusion."
CA-11-02,11,11,Codex,Needs audit,All route declarations,"Resolve 168 discovered Route declarations, including 134 in App, and dynamic/redirect/layout behavior.","Direct load, back/forward, refresh, invalid ID and unauthorized route tests cover each production destination."
CA-11-03,11,11,Codex,Needs audit,All discovered controls,"Review 3,833 interactive JSX candidates and find interactions created dynamically or outside JSX.","Every production control has correct wiring, disabled/loading/error/success states and keyboard behavior."
CA-11-04,11,11,Codex,Needs audit,Responsive layout,"Review desktop, narrow mobile, rotation, zoom, safe areas and overlapping navigation/modals.",Critical actions and amounts remain visible and usable without unintended horizontal clipping.
CA-11-05,11,11,Codex,Needs audit,Accessibility,"Review keyboard order, focus return, labels, contrast, announcements and error prevention.",WCAG 2.2 AA-oriented checks include actual assistive-technology testing of critical financial flows.
CA-11-06,11,11,Codex,Needs audit,"Store, VIP and rewards","Review product eligibility, purchase, entitlement, expiry, redemption and refund.",Displayed price matches the committed debit; entitlement and accounting share a durable operation.
CA-11-07,11,11,Codex,Needs audit,Assets and content,"Review indexed images, icons, fonts, text, broken links and placeholder content.","No broken assets, misleading controls or production-only placeholder states."
CA-11-08,11,11,Codex,Needs audit,State completeness,"Review empty, loading, timeout, offline, denied, expired and partially populated page states.",Users can recover without repeating an uncertain transaction or losing context.
CA-11-09,11,11,Codex,Needs audit,Realtime visual correctness,"Review hand animations, balances, badges, notifications and stale component closures.",Visual transitions reflect authoritative sequence and never imply an uncommitted financial result.
CA-11-10,11,11,Codex,Needs audit,Dead and duplicate surfaces,"Classify archives, previews, unreachable pages and duplicated service/UI implementations.",Production surface is explicit; removal or consolidation follows verified usage and does not silently remove features.
CA-12-01,12,12,Codex,Needs audit,Financial concurrency suite,Build shared property and failure-injection tests for every financial operation family.,"Conservation, isolation, authorization and payload-bound idempotency hold under competing and interrupted operations."
CA-12-02,12,12,Codex,Needs audit,Database contention and queries,"Review transaction duration, lock order, indexes, plans and hot-account contention.",Measured peak-load tests meet agreed latency budgets without partial commits or unbounded deadlock retries.
CA-12-03,12,12,Codex,Needs audit,Runtime and client load,"Measure tables, sockets, memory, rendering, network volume and bundle size.",Agreed capacity and responsiveness budgets pass with representative simultaneous games and users.
CA-12-04,12,12,Codex,Needs audit,Backup and restore proof,"Review database/WAL backups, restore procedures, secrets and ledger evidence continuity.",An isolated restore meets agreed recovery objectives and verifies journals and outstanding liabilities.
CA-12-05,12,12,Codex,Needs audit,Migration and rollback safety,"Review forward compatibility, grants, live definitions and old/new client coexistence.",Normal releases preserve invariants throughout deployment; rollback cannot revive retired unsafe writers.
CA-12-06,12,12,Codex,Needs audit,Hetzner publication verification,"Verify documented push path, CI, static origin, public route and scheduled engine adoption separately.",Published versions match approved commits and required tests; no manual production bypass.
CA-12-07,12,12,Codex,Needs audit,Dependency and supply-chain review,"Review lockfiles, build actions, server packages and known advisories using current primary sources.",Applicable vulnerabilities and unsupported components have validated fixes or explicit outstanding records.
CA-12-08,12,12,Codex,Needs audit,Integration boundary coverage,"Trace dynamic RPCs, indirect helpers, cron, storage and external callbacks missing from the literal-source catalog.","Every runtime write entrypoint has an owner, authorization check, invariant and test evidence."
CA-12-09,12,12,Codex,Needs audit,CI regression gates,Enforce critical negative/concurrency tests and prevent silent reintroduction of legacy writers or repair jobs.,A deliberately broken invariant fails CI; skipped browser/deployment suites are never reported as passed.
CA-12-10,12,12,Codex,Needs audit,Final cross-phase acceptance,"Close each item only after source review, meaningful tests, merged code and relevant runtime evidence.",No blanket '100% safe forever' claim; every open or untested item remains visible with ownership.
CA-ADD-01,additional acceptance requirement,9,Codex,open; cross-phase requirement,Historical incident completeness,"Review every unresolved incident and closures without transaction-level proof; distinguish imbalance, missing journals and reporting errors.","Source evidence, independent negative/concurrency/recovery tests and relevant deployed behavior recorded before closure."
CA-ADD-02,additional acceptance requirement,12,Codex,open; cross-phase requirement,Complete financial entrypoint coverage,"Close all indirect helper, scheduled job, administrative script, external callback and dynamic-call coverage; Phase 1 establishes the expanded catalog only.","Source evidence, independent negative/concurrency/recovery tests and relevant deployed behavior recorded before closure."
CA-ADD-03,additional acceptance requirement,7,Codex,open; cross-phase requirement,Account lifecycle accounting,"Prove disposition of chips, tickets, rakeback and prizes on member departure, upline changes, club/union changes, suspension and deletion.","Source evidence, independent negative/concurrency/recovery tests and relevant deployed behavior recorded before closure."
CA-ADD-04,additional acceptance requirement,5,Codex,open; cross-phase requirement,Effective-date rules,"Bind immutable rates, hierarchy and BBJ configuration to the earning event; later changes cannot silently reprice earlier obligations.","Source evidence, independent negative/concurrency/recovery tests and relevant deployed behavior recorded before closure."
CA-ADD-05,additional acceptance requirement,5,Codex,open; cross-phase requirement,Smallest-unit allocation,"Define and independently test rounding-remainder ownership for all split operations; apply checks also in phases 2, 4 and 6.","Source evidence, independent negative/concurrency/recovery tests and relevant deployed behavior recorded before closure."
CA-ADD-06,additional acceptance requirement,3,Codex,open; cross-phase requirement,Cross-system failure boundaries,"Test committed operation followed by response loss, engine crash, client disconnect or failed notification; retry returns its original outcome.","Source evidence, independent negative/concurrency/recovery tests and relevant deployed behavior recorded before closure."
CA-ADD-07,additional acceptance requirement,12,Codex,open; cross-phase requirement,Release compatibility,"Prove old clients, service workers and engines cannot use retired financial paths through rollout or rollback.","Source evidence, independent negative/concurrency/recovery tests and relevant deployed behavior recorded before closure."
CA-ADD-08,additional acceptance requirement,12,Codex,open; cross-phase requirement,Independent accounting oracle,"Every financial phase compares production outcomes to separately derived expected allocations, not a copy of production arithmetic.","Source evidence, independent negative/concurrency/recovery tests and relevant deployed behavior recorded before closure."
CA-ADD-09,additional acceptance requirement,12,Codex,open; cross-phase requirement,Evidence-based completion,"Every phase and closed item must cite owner, exact source, tests, deployed version and acceptance evidence.","Source evidence, independent negative/concurrency/recovery tests and relevant deployed behavior recorded before closure."
